physical_location_group,competition_location_action,canonical_competition_clinic_key,evidence_basis,evidence_url,decision_note
physical_location:f42535ab96aca63f,accept_one_location,google:cid:11910192639084467907,identical_coordinates_address_and_phone,,Eleven provider profiles represent one competition site at 124 Northern Lights Dr; current brand status remains separate from historical profile identity.
physical_location:7f96a4a2e8140b70,accept_one_location,google:cid:9581487947022237690,official_practice_site,https://www.syracuseoralsurgery.com/,Organization and provider profiles share the Buckley Rd practice address phone and domain.
physical_location:c51bc09c96eb6e83,accept_one_location,google:cid:421397578056937606,shared_phone_and_near_identical_coordinates,,The 4658 and 4700 address variants share one phone and coordinates within 6m; retain the organization profile as the descriptive canonical record.
physical_location:52f60df0db3a89b4,accept_one_location,google:cid:1955777126234173194,shared_address_phone_and_domain,https://www.endodonticassociatespc.com/,Provider profiles share the 600 E Genesee location phone and practice domain; Seminar Room is treated as an address suffix.
physical_location:a02fcdb59c18647d,accept_one_location,google:cid:1731752824066729878,official_practice_site,https://www.aspendental.com/,Aspen Dental provider and service-brand profiles share the DeWitt address phone and domain.
physical_location:c95645a9b9f53dbf,accept_one_location,google:cid:18435494014394102108,shared_address_phone_and_practice_domain,https://www.pullanofamilydentistry.com/,Organization and provider profiles represent the same Brewerton Rd practice location.
physical_location:1492199f926fae93,accept_one_location,google:cid:10444938275450705150,official_practice_site,https://www.atwaldentalcare.com/,Both organization profiles share the exact address phone and practice identity.
physical_location:19271c0b7d99c127,accept_one_location,google:cid:15575419481046639121,official_practice_site,https://www.forth-trombleedentalassociates.com/,Organization and named-provider profiles share the Witz Dr address phone and domain.
physical_location:b65c142d77b2c461,accept_one_location,google:cid:1254695567091437899,official_practice_site,https://noasmiles.com/our-locations/,The organization and Dr Park profiles refer to the same North Syracuse orthodontic office; old phone difference does not create another site.
physical_location:b9719ad2ed944a67,accept_one_location,google:cid:16230304715968135756,shared_exact_address_phone_and_coordinates,,The organization and provider profiles share 523 Charles Ave and one phone; ZIP 13219 versus 13209 is a profile inconsistency rather than a second site.
physical_location:d571085adfe5e2aa,accept_one_location,google:cid:15723055835807943268,official_practice_site,https://siriusorthodontics.com/locations/syracuse-ny/,The organization and provider profiles share the same 526 Plum St Suite 100 office phone and domain.
physical_location:e19917ccfe77bc94,accept_one_location,google:cid:4422734574518278837,shared_exact_address_phone_and_coordinates,,The organization and named-provider profiles share the same DeWitt practice location and phone.
physical_location:7d42ec1b0a46b1ff,accept_one_location,google:cid:14568280156343863442,shared_address_phone_and_practice_domain,https://www.martinandwinklerdds.com/,Eight organization and provider profiles share the 3150 Erie Blvd E practice phone; suite and geocode variation do not define separate competitors.
physical_location:80c2c3b6188826b9,accept_one_location,google:cid:1007588052697687512,shared_va_facility_address_and_domains,https://www.va.gov/syracuse-health-care/,Six provider profiles refer to dental care within the Syracuse VA facility; suite and phone variants remain one competition site.
