reference_key,reviewed_reference_title,proposed_decision,decision_evidence,evidence_url,evidence_checked_at_utc,reviewed_by
competition_unit:clinic:557867d3216d2f1e,Emergency Dental Group,renamed_or_relocated_historical_location,"Same street address and zero coordinate distance; current dental listing uses Emergency Dental Service.",https://www.google.com/maps?cid=15403539219373355405,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:691388c7994bc808,Peachtree Dentures and Implants,same_historical_location,"Exact practice title, same street number and suite, and 17.93 meter coordinate difference.",https://www.google.com/maps?cid=16270776766399017292,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:d7e41faccc17e9bc,"Alex Toub, DMD (Tech Dentistry)",same_historical_location,"Provider-qualified historical title and current Tech Dentistry listing share suite 207 at 740 Ferst Drive.",https://www.google.com/maps?cid=1916875466821305425,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:d91e4060d3b9c895,Urgent Care 24/7 Atlanta,historical_reference_out_of_scope,"Official page distinguishes the medical urgent-care clinic from the adjacent Dental Care 24/7 clinic; the historical title is not a dental-practice identity.",https://www.dentalcare247.com/locations/dental-care-24-7-atlanta,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:fd1c0a87067156ce,Perimeter Pediatric Dentistry & Orthodontics,same_historical_location,"Exact practice title and matching B-200 suite with a 14.03 meter coordinate difference.",https://www.google.com/maps?cid=10149536895558004383,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:36a6e2f79b87b8a5,Brigadier General Lynn Harold Tingay Dental Clinic,same_historical_location,"Current listing identifies Building 320 Tingay Dental Clinic; the Army still lists the Tingay clinic at Building 320 after Fort Gordon was renamed Fort Eisenhower.",https://eisenhower.tricare.mil/Health-Services/Dental,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:c2922d3d018436a8,Morris Family Dentistry,same_historical_location,"Exact practice title and Building 2 address; coordinate difference is 39.31 meters.",https://www.google.com/maps?cid=15561645985637943818,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:33a6e7a771ffc549,"Bella Veneer & Implant: Dr. Ian J. Walker, DDS",same_historical_location,"Practice-branded title and provider listing identify Dr. Ian J. Walker at the same 2000 Eggert Road location.",https://smile716.com/about/,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:912044c3aea660b8,Neighborhood Health Center Blasdell,same_historical_location,"Current listing shortens the location title but retains the same organization and 4233 Lake Avenue address.",https://nhcwny.org/supportive-initiatives/healthysteps/,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:51e2d4f0ed4440bf,Happy Smiles Dental,same_historical_location,"Current title drops Dental but retains the same 1655 South Western Avenue Suite C address and practice website.",https://happysmilesla.com/en,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:c4180abc5dcaca0e,Family Dentist in Panorama City (Medi-Cal Accepted),renamed_or_relocated_historical_location,"The historical and current listings share 14712 Parthenia Street; the public-facing listing title changed from family dentist to emergency dentist.",https://www.google.com/maps?cid=5693646413335548174,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:dc1a710b8aaa9e0d,Children Dental World Olympic,same_historical_location,"Exact practice title and street address; only the suite changed from 108 to 110.",https://www.google.com/maps?cid=4110644443165844867,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:eaf3f5702152fab5,Altamed General Pediatrics and Dentistry,same_historical_location,"Exact organization title and same building; AltaMed lists its dental and pediatric services in suites 200 and 220.",https://www.altamed.org/find/results,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:f109f4fcbb53c652,Ocean Breeze Dental - Dentist Culver City - Cosmetic and Emergency Dentist,same_historical_location,"Current title is a shortened form of the same Ocean Breeze Dental practice at Suite F.",https://oceanbreeze.dental/contact-us/,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:2378715abba4c70a,Central Valley Periodontics & Implants,same_historical_location,"Current listing adds the treating dentist name but retains the practice title and 809 Sylvan Avenue Suite 300.",https://www.centralvalleyperio.com/gum_grafting/,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:982e3e7064f823a7,Pacific Dental Care - Tae Een Park DDS,same_historical_location,"Practice-branded and provider-branded titles share the exact 1429 College Avenue Suite D location.",https://www.google.com/maps?cid=8453004692418224990,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:b81c496a8079d870,Valley Oak Pediatrics,historical_reference_out_of_scope,"Valley Oak Pediatrics is a medical pediatric practice; Valley Pediatric Dentistry is a different dental provider at the same address.",https://valleyoakpediatrics.com/wp-content/uploads/2021/01/Financial-Responsibility-Form-English.pdf,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:f5ddc0dafbd6a537,Legendary Orthodontics - Modesto,same_historical_location,"Exact practice title and 1533 Oakdale Road address with a 17.45 meter coordinate difference.",https://legendaryorthodontics.com/cameron-park/,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:18d6bde0b18b7a0d,Pearl Dental NYC,same_historical_location,"Exact title and Suite 1801 address in both current sources; coordinate difference is 21.31 meters.",https://www.google.com/maps?cid=9661571090678792546,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:2a370d63cdbe6ce8,Sams Family Dental Care,same_historical_location,"Exact practice title and the same 37-66 82nd Street location; punctuation caused the street-number parser difference.",https://www.google.com/maps?cid=50281119247735907,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:88b00ca548d960fa,Dental Oral Surgery,same_historical_location,"Current title adds Astoria Queens but the official site confirms Suite 104 at 27-47 Crescent Street.",https://www.dentaloralsurgery.com/queens-astoria-location,2026-09-19T00:00:00Z,Codex-assisted evidence audit
competition_unit:clinic:bafaae28678a0557,Brooklyn Mint Dental - Dr. Alice Hoang & Dr. Christopher Bowers,same_historical_location,"Current title retains Brooklyn Mint Dental and Dr. Alice Hoang at the exact 567 Pacific Street Suite B location.",https://www.google.com/maps?cid=3426142183147608608,2026-09-19T00:00:00Z,Codex-assisted evidence audit
