domain_audit_sequence,normalized_source_domain,profile_count,review_block_count,market_count,markets,titles,observed_categories,website_urls,site_search_url,reuse_boundary
1,www.institute.org,5,1,1,NYC_NY_L,Family Health Center of Harlem || Stevenson Family Health Center || The Institute for Family Health at Westchester Square (Open for telehealth) || Urban Horizons Family Health Center || Walton Family Health Center,Medical clinic,http://www.institute.org/ || http://www.institute.org/access,https://www.google.com/search?q=site%3Awww.institute.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
2,opendoorhealth.com,4,2,1,Eureka_CA_S,Open Door Member Services Department || Redwood Community Health Center || Telehealth & Visiting Specialist Center || Open door clinic,Community health center || Medical clinic,http://opendoorhealth.com/opendoor/?page_id=458 || http://opendoorhealth.com/opendoor/?page_id=6181 || http://opendoorhealth.com/opendoor/locations/mobile-health-services/ || https://opendoorhealth.com/,https://www.google.com/search?q=site%3Aopendoorhealth.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
3,www.mhhc.org,4,2,1,NYC_NY_L,MHHC at St. Ann's || MHHC at Vanguard || MHHC at Walton || Morris Heights Health Center,Medical clinic || Medical Center,http://www.mhhc.org/ || https://www.mhhc.org/,https://www.google.com/search?q=site%3Awww.mhhc.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
4,www.k9loft.com,3,3,1,LA_CA_L,K9 LOFT || K9 Loft,Pet boarding service || Pet groomer || Kennel,http://www.k9loft.com/,https://www.google.com/search?q=site%3Awww.k9loft.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
5,roadsfoundation.org,3,2,1,LA_CA_L,ROADS Community Clinic - Compton || ROADS Community Clinic - Lynwood || ROADS Community Clinic - East Long Beach,Community health center || Medical clinic,https://roadsfoundation.org/locations/roads-community-clinic-compton/ || https://roadsfoundation.org/,https://www.google.com/search?q=site%3Aroadsfoundation.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
6,www.centurymedicaldental.com,3,2,1,NYC_NY_L,"Century Medical & Dental Center | Brooklyn, Gravesend || Century Medical & Dental Center | South Bronx || Century Medical & Dental Center | Brooklyn, Downtown",Medical Center || Medical clinic,https://www.centurymedicaldental.com/gravesend-brooklyn-ny-11223/ || https://www.centurymedicaldental.com/bronx-ny-10455/ || https://www.centurymedicaldental.com/downtown-brooklyn-ny-11201/,https://www.google.com/search?q=site%3Awww.centurymedicaldental.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
7,www.chnnyc.org,3,2,1,NYC_NY_L,Community Healthcare Network – Williamsburg || Community Healthcare Network- Sutphin Boulevard || Community Healthcare Network – Lower East Side / Catherine M. Abate,Medical clinic || Community health center,https://www.chnnyc.org/williamsburg/ || https://www.chnnyc.org/sutphin-blvd-health-center/ || https://www.chnnyc.org/lower-east-side-center/,https://www.google.com/search?q=site%3Awww.chnnyc.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
8,www.sabancommunityclinic.org,3,2,1,LA_CA_L,Saban Community Clinic || Saban Community Clinic - Virgil || The Wallis Annenberg Children & Family Health Center at Hollywood Wilshire Health Center,Community health center || Mental health clinic,https://www.sabancommunityclinic.org/ || https://www.sabancommunityclinic.org/locations/virgil-family-health-center/ || http://www.sabancommunityclinic.org/,https://www.google.com/search?q=site%3Awww.sabancommunityclinic.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
9,smiledirectclub.com,3,1,2,Atlanta_GA_L || NYC_NY_L,Smile Direct Club,Health and beauty shop,https://smiledirectclub.com/location?shop=Atlanta%20-%20Buckhead%20Lenox&shopId=4a3982e2-1c0d-475f-8ffd-b33206a658e7 || https://smiledirectclub.com/smileshops/flat-iron-nyc/ || https://smiledirectclub.com/smileshops/brooklyn-downtown/,https://www.google.com/search?q=site%3Asmiledirectclub.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
10,www.alas-csra.org,3,1,1,Augusta_GA_L,ALAS Free Women's Clinic || Centro Médico || Clínica Latina,Free clinic,https://www.alas-csra.org/womens-clinic || http://www.alas-csra.org/ || http://www.alas-csra.org/clinica-latina-1,https://www.google.com/search?q=site%3Awww.alas-csra.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
11,www.eisnerhealth.org,3,1,1,LA_CA_L,Eisner Health - Downtown Los Angeles || Eisner Health - Lynwood || Eisner Health - Sherman Oaks,Medical clinic,http://www.eisnerhealth.org/,https://www.google.com/search?q=site%3Awww.eisnerhealth.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
12,www.tohelpeveryone.org,3,1,1,LA_CA_L,To Help Everyone - La Brea Health Center || To Help Everyone - Lennox Health Center || To Help Everyone - Western Health Center,Medical clinic,https://www.tohelpeveryone.org/,https://www.google.com/search?q=site%3Awww.tohelpeveryone.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
13,cchccenters.org,2,2,1,LA_CA_L,Comprehensive Community Health Centers - CCHC Glendale || Comprehensive Community Health Centers - Eagle Rock,Medical clinic || Non-profit organization,https://cchccenters.org/,https://www.google.com/search?q=site%3Acchccenters.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
14,sjch.org,2,2,1,LA_CA_L,St. John’s Community Health - Leavey-OB Clinic || St. John’s Community Health Warner Traynham Clinic,Family planning center || Medical clinic,http://sjch.org/find-a-clinic/ || https://sjch.org/,https://www.google.com/search?q=site%3Asjch.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
