observed_categories,observed_source_decisions,category_rule_pattern,review_tier,suggested_manual_decision,suggestion_basis,profile_count,markets,sample_titles,group_manual_decision,group_decision_evidence,reviewed_by,reviewed_on,review_block_id,category_group_id,review_block_basis,review_domain,profiles_with_dental_title_signal,profiles_with_nondental_title_signal,profiles_with_unknown_categories,profiles_with_nonprovider_category_signal,profiles_with_existing_website,profiles_with_phone,profiles_without_website_or_phone,allowed_group_review_actions,reviewed_member_count
Medical clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,LA_CA_L,Atalla Medical Group,,,,,eligibility_review_block:007dde1bbe3075dc,eligibility_group:525c831a331b438e,singleton_profile,,0,1,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Internist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,"Ardeshir Soroushyari, M.D.",,,,,eligibility_review_block:009142746158e259,eligibility_group:190ff23a6596779d,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Bookkeeping service,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Coffee and Consulting LLC,,,,,eligibility_review_block:01175930470c0fab,eligibility_group:ed06ca914eca5a5b,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical Center,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,NYC_NY_L,One Brooklyn Health-Brookdale University Hospital Medical Center,,,,,eligibility_review_block:0251f57ee638f355,eligibility_group:d6a5057259cdd490,singleton_profile,,0,1,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Surgeon|Surgical center,needs_category_review,manual_review|unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,Augusta_GA_L,Oral & Maxillofacial Surgery,,,,,eligibility_review_block:02a39639e7dc39ab,eligibility_group:beb60e706182afeb,singleton_profile,,1,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
X-ray lab,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Mobile 3D Advantage,,,,,eligibility_review_block:03630f4f40fbfee8,eligibility_group:bcde824d5b399027,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Design engineer|Emergency dental service,automatic_include|needs_category_review,include|unknown,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,LA_CA_L,"Dental Office App, powered by Dentulu",,,,,eligibility_review_block:03ef07f4eeea0423,eligibility_group:837b8a0e4ad496b6,singleton_profile,,1,0,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Public health department,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Atlanta_GA_L,Georgia Department of Community Health,,,,,eligibility_review_block:048c12cff57b01e4,eligibility_group:cc959e46f76b4a21,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Macon_GA_M,"Bibb Family Practice Associates, PC",,,,,eligibility_review_block:049945e26140b61e,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Orthotics & prosthetics service,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,FortBragg_CA_S,Align Orthotics & Prosthetics,,,,,eligibility_review_block:04ca1c406fc2af4a,eligibility_group:6802faf098d90035,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical group,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,NYC_NY_L,Medical Practice Administrator,,,,,eligibility_review_block:053546d1b5cf24de,eligibility_group:1fa47dbf03af3215,singleton_profile,,0,1,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Community health center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,Buffalo_NY_L,Evergreen Health || Evergreen Health,,,,,eligibility_review_block:06ca6a64708e9121,eligibility_group:75eedbc19c8622b7,shared_domain_within_category_group,www.evergreenhs.org,0,0,0,0,2,2,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Oral surgeon|Surgical center,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Modesto_CA_M,Walls Dental Implant and Oral Surgical Arts,,,,,eligibility_review_block:06e412514b87a25f,eligibility_group:5d66d5a72d6afc63,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,LA_CA_L,Golden Care Dentistry,,,,,eligibility_review_block:073c44414e107f2a,eligibility_group:3a576676bc82902a,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Plastic surgeon,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,"Pearlman D Hicks, Jr, MD",,,,,eligibility_review_block:076620a60702bd7f,eligibility_group:ad9d7cea6cadeae3,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,LA_CA_L,Medical Mission Adventures,,,,,eligibility_review_block:087e9364b6c6e690,eligibility_group:525c831a331b438e,singleton_profile,,0,1,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dental radiology,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,LA_CA_L,Dental Diagnostic Imaging Center,,,,,eligibility_review_block:08c81936043e31ec,eligibility_group:43a4472af04e0a96,singleton_profile,,1,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,LA_CA_L,Hispano American Medical Clinic,,,,,eligibility_review_block:0aaf4ae1187a0748,eligibility_group:525c831a331b438e,singleton_profile,,0,1,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Cardiologist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Yang Bao Bin MD,,,,,eligibility_review_block:0afc4d33c90a61aa,eligibility_group:87792a8b95e277fa,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dental clinic|Free clinic,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,LA_CA_L,Los Angeles Christian Health Centers - Joshua House Clinic,,,,,eligibility_review_block:0bd0f92403fc8003,eligibility_group:a48e809bd27ae1fc,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dental clinic|Medical clinic,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Augusta_GA_L,DDEAMC Dental Clinic,,,,,eligibility_review_block:0cbdc12848687c91,eligibility_group:b5100c3d9e0ccdcb,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,FortBragg_CA_S,Medical Office: Adventist Health Mendocino Coast,,,,,eligibility_review_block:0e18c2c567eae749,eligibility_group:525c831a331b438e,singleton_profile,,0,1,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,VCC: The Gary Center,,,,,eligibility_review_block:0f9c62a7cb88bc5b,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Toccoa_GA_S,Open Arms Clinic,,,,,eligibility_review_block:107964ab97cc6dba,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Dr. Michael Devito,,,,,eligibility_review_block:11411dee260641f8,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Educational institution,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,LA_CA_L,Global Academy of Oral Implantology,,,,,eligibility_review_block:117f4efd596ec39b,eligibility_group:a5d78c435f0148a2,singleton_profile,,0,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical Center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,Los Portales Medical and Dental Center,,,,,eligibility_review_block:11d466aedcb2403d,eligibility_group:b070ffeb7e138d00,singleton_profile,,1,1,0,0,1,0,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,Atlanta_GA_L,Reilly Dental,,,,,eligibility_review_block:1202c6e3a16a4b9b,eligibility_group:3a576676bc82902a,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Emergency veterinarian service,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,NYC_NY_L,URvet Care Medical Center - Astoria,,,,,eligibility_review_block:132a2ae6e54fa5ab,eligibility_group:2073a0e934c168e6,singleton_profile,,0,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Macon_GA_M,Walmart Health Center,,,,,eligibility_review_block:155ae2123f5f32c2,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Eureka_CA_S,Eureka VA Clinic,,,,,eligibility_review_block:158705282396dbfd,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Veterinarian,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Vidalia_GA_S,Vidalia Veterinary Clinic,,,,,eligibility_review_block:15a7b34898716507,eligibility_group:33340ba2db18c2ad,singleton_profile,,0,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Augusta_GA_L,Christ Community Health Peach Orchard,,,,,eligibility_review_block:15a90604db2d1ce1,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Dr. Martin Galstyan,,,,,eligibility_review_block:15c0309c3c9fc3b9,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Market researcher,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Augusta_GA_L,Top Dentists LLC,,,,,eligibility_review_block:162be30397e15c7b,eligibility_group:c85032f10b2ddde9,singleton_profile,,1,0,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,Southern Dental of Brooklyn,,,,,eligibility_review_block:16d9ab586548dd21,eligibility_group:3a576676bc82902a,singleton_profile,,1,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,NYC_NY_L,ColumbiaDoctors - Pediatrics,,,,,eligibility_review_block:17473c2267dd19d7,eligibility_group:525c831a331b438e,singleton_profile,,0,1,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
