priority_batch_sequence,profile_key,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on
1,google:cid:664114471230519840,exclude_non_dentist_category,"Current official dental practice page places Dr. Blackburn at 2812 Piedmont Road, not the profile address at 75 Piedmont Avenue.",https://www.atlantaprosthodontics.com/about-us/b-a-blackburn-3-dds/dr-blackburn-iii-atlanta-cosmetic-dentist/,OpenAI official-site audit,2026-09-25
2,google:cid:9379723610265778813,exclude_non_dentist_category,"Current ECMC dental locations are 462 Grider Street and 800 Hertel Avenue; the saved profile address at 100 High Street is not a current dental location.",https://www.ecmc.edu/health-services-and-doctors/outpatient-specialty-clinics/dental-clinic/,OpenAI official-site audit,2026-09-25
3,google:cid:15791159538290549542,include_dental_provider,"The Golisano outpatient center at 1001 Main Street lists Pediatric Dental as a patient-facing outpatient service.",https://www.ochbuffalo.org/visitors/outpatient-center/,OpenAI official-site audit,2026-09-25
4,google:cid:15999424789158348057,include_dental_provider,"The official Dugoni School site identifies 155 Fifth Street as its dental school and patient-care location.",https://www.pacific.edu/dental,OpenAI official-site audit,2026-09-25
5,google:cid:16152439090923692825,exclude_non_dentist_category,"Mercy Care's current service and location pages identify Gateway Center as recuperative-care support; they do not list patient-facing dental care at 275 Pryor Street.",https://mercyatlanta.org/services/,OpenAI official-site audit,2026-09-25
6,google:cid:14051362357773369561,exclude_non_dentist_category,"The exact Grady Ponce de Leon page lists HIV/AIDS and infectious-disease care, not patient-facing dental care.",https://www.gradyhealth.org/locations/ponce-de-leon-center/,OpenAI official-site audit,2026-09-25
7,google:cid:14457415903984627262,exclude_non_dentist_category,"The exact Richmond County health-department page describes preventive public-health services at 950 Laney Walker and does not list dental care.",https://ada.ecphd.com/counties/richmond,OpenAI official-site audit,2026-09-25
8,google:cid:2431502444806696710,include_dental_provider,"Harvest House's exact location page identifies Good Neighbors Medical and Dental at 175 Jefferson Avenue and describes patient dental care.",https://www.harvesthousebuffalo.org/gnhc,OpenAI official-site audit,2026-09-25
9,google:cid:7387759025015642405,exclude_non_dentist_category,"Oishei Healthy Kids at 1100 Main Street is a children's health-home and case-management program, not a dental provider.",https://www.ochbuffalo.org/care-treatment/Oishei-Healthy-Kids-Health-Home,OpenAI official-site audit,2026-09-25
10,google:cid:14667082976660505393,exclude_non_dentist_category,"The exact VA clinic service list includes primary care and several specialties but no patient-facing dental service.",https://www.va.gov/san-francisco-health-care/locations/eureka-va-clinic/,OpenAI official-site audit,2026-09-25
11,google:cid:5493462293064925102,exclude_non_dentist_category,"The exact address is Adventist Health Mendocino Coast hospital; current official facility evidence does not identify an on-site dental clinic.",https://www.adventisthealth.org/mendocino-coast/,OpenAI official-site audit,2026-09-25
12,google:cid:10671460001844304829,include_dental_provider,"The current official provider page identifies Artur Arkelakyan as a DDS providing dental care at 905 S Lake Street Suite 102.",https://coastlanddental.com/about-us/dr-artur-arkelakyan/,OpenAI official-site audit,2026-09-25
13,google:cid:92410452455775698,exclude_non_dentist_category,"The linked organization and exact profile are oncology and cancer-treatment services, not a dental provider.",https://usoncology.com/news/vantage-oncologys-50-centers-and-more-than-350-affiliated-physicians-join-the-us-oncology-network/,OpenAI official-site audit,2026-09-25
14,google:cid:10073033236181205716,exclude_non_dentist_category,"The official provider record identifies Ardeshir Soroushyari as a medical physician, not a dentist or dental clinic.",https://www.cedars-sinai.org/provider/ardeshir-soroushyari-2644702.html,OpenAI official-site audit,2026-09-25
15,google:cid:7778619330488409355,include_dental_provider,"The exact Clinicas Newbury Park location page lists dental care at 1000 Newbury Road Suite 150.",https://www.clinicas.org/content/newbury-park,OpenAI official-site audit,2026-09-25
16,google:cid:17820276821066351545,include_dental_provider,"VCC's official dental-services page lists The Gary Center as a dental location and its locations page confirms 201 S Harbor Boulevard.",https://www.vistacommunityclinic.org/health-services/dental/,OpenAI official-site audit,2026-09-25
17,google:cid:295538574977635025,include_dental_provider,"The official practice page identifies Lawrence Weiss as a dentist providing patient care at the exact Brooklyn practice.",https://newyorkfamilydentistry.com/about_us/doctor_weiss/,OpenAI official-site audit,2026-09-25
18,google:cid:15144409111980064554,exclude_non_dentist_category,"ODA's exact Crown Heights page lists pediatrics and podiatry only; ODA dental care is at a different address.",https://odahealth.org/locations/oda-crown-heights.html,OpenAI official-site audit,2026-09-25
