market,profile_key,title,address,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on
LA_CA_L,google:cid:14523467718029744471,"APLA Health Center, Long Beach","1043 Elm Ave #302, Long Beach, CA 90813",include_dental_provider,Official APLA location page matches this exact address and explicitly lists patient dental care.,https://aplahealth.org/locations/,official_and_authoritative_web_audit,2026-09-24
LA_CA_L,google:cid:14508613773664398805,"APLA Health, Gleicher/Chen Health Center, Baldwin Hills","3743 S La Brea Ave, Los Angeles, CA 90016",include_dental_provider,Official APLA location page matches this exact address and explicitly lists patient dental care.,https://aplahealth.org/locations/,official_and_authoritative_web_audit,2026-09-24
LA_CA_L,google:cid:11366871718438330174,Jwch Clinic,"954 N Vermont Ave, Los Angeles, CA 90029",include_dental_provider,The exact 954 N Vermont location has a recurring patient mobile dental clinic in addition to Wesley medical services.,https://www.lacc.edu/student-services/spr/health-wellness-center,official_and_authoritative_web_audit,2026-09-24
LA_CA_L,google:cid:12666400545154698834,Wesley Health Centers - Weingart Clinic,"515 E 6th St, Los Angeles, CA 90021",include_dental_provider,Official JWCH Skid Row campus evidence matches 515 E 6th St and lists Dental Care.,https://jwchinstitute.org/locations/,official_and_authoritative_web_audit,2026-09-24
Eureka_CA_S,google:cid:2468268097554676926,Open Door Member Services Department,"1522 3rd St, Eureka, CA 95501",exclude_non_dentist_category,"This exact profile is the administrative Member Services Department, not a patient dental practice; Open Door lists Burre Dental Center separately.",https://resourcehub.nchiin.org/,official_and_authoritative_web_audit,2026-09-24
Eureka_CA_S,google:cid:6832263757888478173,Redwood Community Health Center,"2350 Buhne St, Eureka, CA 95501",exclude_non_dentist_category,Location evidence identifies family medicine and pregnancy services at this exact site; Open Door lists Burre Dental Center separately for dental care.,https://www.northcoastclinics.org/clinics/,official_and_authoritative_web_audit,2026-09-24
Eureka_CA_S,google:cid:3539046292069828800,Telehealth & Visiting Specialist Center,"2426 Buhne St, Eureka, CA 95501",exclude_non_dentist_category,"HRSA and regional evidence describe primary, specialty, behavioral, telehealth and mobile services at this exact site, while dental is provided at a separately named Burre Dental Center.",https://programportal.hrsa.gov/site-poc-api/public/employer-site-profiles/4A74F35E-A142-473E-8AC8-27241E3691BC/brochures/30393030-3335-6464-3830-373531616261/content,official_and_authoritative_web_audit,2026-09-24
LA_CA_L,google:cid:11660717878363179238,ROADS Community Clinic - Compton,"121 S Long Beach Blvd, Compton, CA 90221",include_dental_provider,Official ROADS Compton location page matches the address and lists integrated dental care.,https://roadsfoundation.org/locations/roads-community-clinic-compton/,official_and_authoritative_web_audit,2026-09-24
LA_CA_L,google:cid:17876263272543066434,ROADS Community Clinic - Lynwood,"3737 Martin Luther King Jr Blvd Ste 402, Lynwood, CA 90262",exclude_non_dentist_category,Official ROADS dental service evidence identifies Compton for dental care and does not list dental at this Lynwood profile.,https://roadsfoundation.org/services/dental/,official_and_authoritative_web_audit,2026-09-24
LA_CA_L,google:cid:3932807939064839266,Serenity Care Health Group - Atlantic Adult Clinic,"780 Atlantic Ave 2nd Floor, Long Beach, CA 90813",exclude_non_dentist_category,"Official Serenity Care evidence identifies adult, primary and mental-health care at this exact location and does not list patient dental services.",https://serenitycarehealthgroup.org/,official_and_authoritative_web_audit,2026-09-24
LA_CA_L,google:cid:6241950912401221942,"Serenity Care Health Group, FQHC-LAL","1930 E Anaheim St, Long Beach, CA 90813",exclude_non_dentist_category,"Official Serenity Care evidence identifies adult, primary and mental-health care at this exact location and does not list patient dental services.",https://serenitycarehealthgroup.org/,official_and_authoritative_web_audit,2026-09-24
Atlanta_GA_L,google:cid:11085259445198486597,Smile Direct Club,"Located in Peachtree Offices, 3355 Lenox Rd NE Suite 750, Atlanta, GA 30326",exclude_non_dentist_category,"SmileDirectClub ceased global operations in December 2023, so this historical storefront is not a current patient-facing dental provider.",https://apnews.com/article/smiledirectclub-shuts-down-teeth-aligners-84ae3f8b0b5d8de5c4952208087e817a,official_and_authoritative_web_audit,2026-09-24
