market,profile_key,title,address,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on
Atlanta_GA_L,google:cid:14826937450612169934,Atlanta Veterinary Dentistry,"8097 Roswell Rd Bldg F, Atlanta, GA 30350",exclude_non_dentist_category,Veterinary dentistry rather than human dental care.,https://atlantaveterinarydentistry.net/,category_identity_audit,2026-09-24
Atlanta_GA_L,google:cid:664114471230519840,Dr. Benjamin Blackburn,"75 Piedmont Ave NE Ste 400, Atlanta, GA 30303",exclude_non_dentist_category,"Current official dental practice page places Dr. Blackburn at 2812 Piedmont Road, not the profile address at 75 Piedmont Avenue.",https://www.atlantaprosthodontics.com/about-us/b-a-blackburn-3-dds/dr-blackburn-iii-atlanta-cosmetic-dentist/,OpenAI official-site audit,2026-09-25
Atlanta_GA_L,google:cid:3689234672713981475,Emory Clinic General/vsclr Surgery,"1365 Clifton Rd NE Bldg C, Atlanta, GA 30322",include_dental_provider,Official Emory provider pages identify patient-facing oral and maxillofacial surgery at 1365 Clifton Road.,https://www.emoryhealthcare.org/providers/james-jeong-2591884,targeted_profile_evidence_audit,2026-09-24
Atlanta_GA_L,google:cid:12773958067227470323,Good Samaritan Health Center,"1015 Donald Lee Hollowell Pkwy NW, Atlanta, GA 30318",include_dental_provider,Official location page matches the address and identifies dental care within its patient services.,https://goodsamatlanta.org/location/,official_site_audit,2026-09-24
Atlanta_GA_L,google:cid:2318105929422082567,Mercy Care,"424 Decatur St. SE, Atlanta, GA 30312",include_dental_provider,Official Mercy Care services page identifies dental care at the Decatur Street clinic and matches the address.,https://mercyatlanta.org/services/,official_site_audit,2026-09-24
Atlanta_GA_L,google:cid:16152439090923692825,Mercy Care at Gateway Center,"275 Pryor St SW, Atlanta, GA 30303",exclude_non_dentist_category,Mercy Care's current service and location pages identify Gateway Center as recuperative-care support; they do not list patient-facing dental care at 275 Pryor Street.,https://mercyatlanta.org/services/,OpenAI official-site audit,2026-09-25
Atlanta_GA_L,google:cid:14051362357773369561,Ponce De Leon Center,"341 Ponce De Leon Ave NE, Atlanta, GA 30308",exclude_non_dentist_category,"The exact Grady Ponce de Leon page lists HIV/AIDS and infectious-disease care, not patient-facing dental care.",https://www.gradyhealth.org/locations/ponce-de-leon-center/,OpenAI official-site audit,2026-09-25
Atlanta_GA_L,google:cid:7070886758225630371,Reilly Dental,"1150 Hammond Dr, Atlanta, GA 30328",include_dental_provider,Exact title and linked source identify a patient-facing dental provider.,http://www.perimeterdentalassociates.com/,focused_title_evidence_audit,2026-09-24
Atlanta_GA_L,google:cid:11085259445198486597,Smile Direct Club,"Located in Peachtree Offices, 3355 Lenox Rd NE Suite 750, Atlanta, GA 30326",exclude_non_dentist_category,"SmileDirectClub ceased global operations in December 2023, so this historical storefront is not a current patient-facing dental provider.",https://apnews.com/article/smiledirectclub-shuts-down-teeth-aligners-84ae3f8b0b5d8de5c4952208087e817a,official_and_authoritative_web_audit,2026-09-24
Atlanta_GA_L,google:cid:6885250673203378333,Southside Medical Center,"1046 Ridge Ave SW #4, Atlanta, GA 30315",include_dental_provider,Official dental page matches 1046 Ridge Ave and offers patient dental care.,https://southsidemedical.net/dental/,focused_title_evidence_audit,2026-09-24
Atlanta_GA_L,google:cid:5043981146667545184,Veterinary Dental Center of Atlanta,"8097 Roswell Rd Bldg F, Atlanta, GA 30350",exclude_non_dentist_category,Veterinary dentistry rather than human dental care.,https://vdcatlanta.com/,category_identity_audit,2026-09-24
Augusta_GA_L,google:cid:2881003103519768575,ALAS Free Women's Clinic,"904 Merry St, Augusta, GA 30904",exclude_non_dentist_category,Official ALAS Women’s Clinic page matches the address and lists women’s health services rather than dental care.,https://www.alas-csra.org/womens-clinic,official_and_authoritative_web_audit,2026-09-24
